Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,LUAS,JUMLAH,,,,,
K O D E,,NAMA PROVINSI /,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,,
,,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,(Km2),(Jiwa) *),,,,,
,,,,,,,,Bataka,,,,"Menjadi wil. Kec. Ibu Selatan, Perda No. 7/2005",,,,
,,,,,,,,Talaga,,,,"Menjadi wil. Kec. Ibu Selatan, Perda No. 7/2005",,,,
,,,,,,,,Tobelos,,,,"Menjadi wil. Kec. Ibu Selatan, Perda No. 7/2005",,,,
,,,,,,,,Gamkonora,,,,"Menjadi wil. Kec. Ibu Selatan, Perda No. 7/2005",,,,
,,,,,,,,Sarau,,,,"Menjadi wil. Kec. Ibu Selatan, Perda No. 7/2005",,,,
82.01.03.2012,,,,,,,1,Togola Wayoli,,,,,,,,
82.01.03.2013,,,,,,,2,Togola Sangir,,,,,,,,
82.01.03.2014,,,,,,,3,Tahafo,,,,,,,,
82.01.03.2015,,,,,,,4,Tongute Ternate,,,,,,,,
82.01.03.2016,,,,,,,5,Akesibu,,,,,,,,
82.01.03.2017,,,,,,,6,Maritango,,,,,,,,
82.01.03.2018,,,,,,,7,Kie Ici,,,,,,,,
82.01.03.2019,,,,,,,8,Tongute Goin,,,,,,,,
82.01.03.2020,,,,,,,9,Tungute Sungi,,,,,,,,
82.01.03.2021,,,,,,,10,Gam Ici,,,,,,,,
82.01.03.2022,,,,,,,11,Tobaol,,,,,,,,
82.01.03.2023,,,,,,,12,Gamlamo,,,,,,,,
,,,,,,,,Podol,,,,"Menjadi wil. Kec. Ibu Utara, Perda No. 7/2005",,,,
,,,,,,,,Tengowango,,,,"Menjadi wil. Kec. Ibu Utara, Perda No. 7/2005",,,,
,,,,,,,,Togowo,,,,"Menjadi wil. Kec. Ibu Utara, Perda No. 7/2005",,,,
,,,,,,,,Duono,,,,"Menjadi wil. Kec. Ibu Utara, Perda No. 7/2005",,,,
,,,,,,,,Goin,,,,"Menjadi wil. Kec. Ibu Utara, Perda No. 7/2005",,,,
,,,,,,,,Sangaji Nyeku,,,,"Menjadi wil. Kec. Ibu Utara, Perda No. 7/2005",,,,
,,,,,,,,,,,,,,,,
