Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,LUAS,JUMLAH,,,
K O D E,,NAMA PROVINSI /,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,
,,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,(Km2),(Jiwa) *),,,
12.01.03.1026,,,,,,20,Hajoran Indah,,,,,,Pemekaran dari Kel Hajoran Perda 10/2009,
12.01.04,,,,4,Pinangsori,,5,,,5,,,"Perubahan nama Kec. Lumut, Perda No. 8/2003.",
12.01.04.1001,,,,,,1,Pinangsori,,,,,,,
12.01.04.2002,,,,,,,,1,Gunung Marijo,,,,,
12.01.04.2003,,,,,,,,2,Sihaporas,,,,,
12.01.04.1004,,,,,,2,Sitonong Bangun,,,,,,Peningkatan Status Menjadi Kelurahan Perda 10/2009,
12.01.04.2005,,,,,,,,3,Toga Basir,,,,,
12.01.04.2006,,,,,,,,4,Parjalihotan Baru,,,,,
12.01.04.1007,,,,,,3,Pinangbaru,,,,,,,
12.01.04.2008,,,,,,,,5,Danau Pandan,,,,Perda 9/2009,
12.01.04.1009,,,,,,4,Albion Prancis,,,,,,Perda 10/2009,
12.01.04.1010,,,,,,5,Sori Nauli,,,,,,Perda 10/2009,
12.01.05,,,,5,Manduamas,,3,,,17,,,,
12.01.05.1001,,,,,,1,P.O. Manduamas,,,,,,,
12.01.05.2002,,,,,,,,1,Saragih,,,,,
12.01.05.1003,,,,,,2,Binjohara,,,,,,"Peningkatan status menjadi Kelurahan, Perda 10/2009",
12.01.05.2004,,,,,,,,2,Pagaran Nauli,,,,,
12.01.05.2005,,,,,,,,3,Sarma Nauli,,,,,
12.01.05.2006,,,,,,,,4,Manduamas Lama,,,,,
12.01.05.2007,,,,,,,,5,Tumba,,,,,
12.01.05.2008,,,,,,,,6,Tumba Jae,,,,,
12.01.05.2009,,,,,,,,7,Lae Monong,,,,,
12.01.05.2010,,,,,,,,8,Saragih Barat,,,,Perda 9/2009,
12.01.05.2011,,,,,,,,9,Saragih Timur,,,,Perda 9/2009,
12.01.05.2012,,,,,,,,10,Binjohara Uruk,,,,Perda 9/2009,
12.01.05.2013,,,,,,,,11,Binjohara Baru,,,,Perda 9/2009,
,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,JUMLAH,,,,,N A M A   /   J U M L A H,,,LUAS,JUMLAH,,,
,NAMA PROVINSI /,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,
K O D E,KABUPATEN / KOTA,,,,,,,,,(Km2),(Jiwa) *),,,
,,KAB,KOTA,,KECAMATAN,,KELURAHAN,,D E S A,,,,,
12.01.05.2014,,,,,,,,12,Tumba Nauli,,,Perda 9/2009,,
12.01.05.2015,,,,,,,,13,Manduamas Baru,,,Perda 9/2009,,
12.01.05.2016,,,,,,,,14,Muara Tapus,,,Perda 9/2009,,
12.01.05.2017,,,,,,,,15,Pagaran Baru,,,Perda 9/2009,,
12.01.05.2018,,,,,,,,16,Parsihotangan,,,Perda 9/2009,,
12.01.05.2019,,,,,,,,17,Tambahan Nanjur,,,Penggabungan dari Desa Sarma Nauli dan Desa Pagaran Nauli,,
,,,,,,,,,,,,"Kec. Manduamas, Perda 9/2009",,
12.01.05.1020,,,,,,3,Perluasan,,,,,Perda 10/2009,,
12.01.06,,,,6,Kolang,,2,,12,,,,,
12.01.06.2001,,,,,,,,1,Unte Mungkur IV,,,,,
12.01.06.2002,,,,,,,,2,Unte Mungkur III,,,,,
12.01.06.2003,,,,,,,,3,Unte Mungkur II,,,,,
12.01.06.2004,,,,,,,,4,Unte Mungkur I,,,,,
12.01.06.2005,,,,,,,,5,Satahi Nauli,,,,,
12.01.06.1006,,,,,,1,P.O. Hurlang,,,,,,,
12.01.06.1007,,,,,,2,Kolang Nauli,,,,,,,
12.01.06.2008,,,,,,,,6,Hurlang Muara Nauli,,,,,
12.01.06.2009,,,,,,,,7,Sipakpahi Aek Lobu,,,,,
12.01.06.2010,,,,,,,,8,Hodopa Nauli,,,,,
12.01.06.2011,,,,,,,,9,Makarti Nauli,,,,,
12.01.06.2012,,,,,,,,10,Rawa Makmur,,,,,
12.01.06.2013,,,,,,,,11,Simarpinggang,,,"Pindah dari Kecamatan Sorkam, Perda 9/2009",,
12.01.06.2014,,,,,,,,12,Pargaringan,,,"Pindah dari Kecamatan Sorkam, Perda 9/2009",,
12.01.07,,,,7,Tapian Nauli,,1,,8,,,,,
12.01.07.1001,,,,,,1,Tapian Nauli II,,,,,,,
12.01.07.2002,,,,,,,,1,Tapian Nauli I,,,,,
12.01.07.2003,,,,,,,,2,Tapian Nauli III,,,,,
12.01.07.2004,,,,,,,,3,Tapian Nauli IV,,,,,
12.01.07.2005,,,,,,,,4,Aloban Bair,,,,,
12.01.07.2006,,,,,,,,5,Mela Dolok,,,,,
12.01.07.2007,,,,,,,,6,Mela I,,,,,
12.01.07.2008,,,,,,,,7,Mela II,,,,,
12.01.07.2009,,,,,,,,8,Bair,,,,,
12.01.08,,,,8,Sibabangun,,1,,6,,,,,
,,,,,,Lumut,,,,,,"Menjadi wil. Kec. Lumut, Perda No.8/2007",,
,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,JUMLAH,,,,N A M A   /   J U M L A H,,,,LUAS,JUMLAH,,,
,NAMA PROVINSI /,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,
K O D E,KABUPATEN / KOTA,,,,,,,,,(Km2),(Jiwa) *),,,
,,KAB,KOTA,KECAMATAN,,KELURAHAN,,D E S A,,,,,,
12.01.08.1002,,,,,1,Sibabangun,,,,,,,,
,,,,,,,,Tebing Tinggi,,,,"Menjadi wil. Kec. Suka Bangun, Perda No. 8/2007",,
,,,,,,,,Pulo Pakkat,,,,"Menjadi wil. Kec. Suka Bangun, Perda No. 8/2007",,
12.01.08.2005,,,,,,,1,Mombang Boru,,,,,,
12.01.08.2006,,,,,,,2,Anggoli,,,,,,
12.01.08.2007,,,,,,,3,Muara Sibuntuon,,,,,,
12.01.08.2008,,,,,,,4,Sibio bio,,,,,,
,,,,,,,,Masundung,,,,"Menjadi wil. Kec. Lumut, Perda No. 8/2007",,
12.01.08.2010,,,,,,,5,Simanosor,,,,,,
12.01.08.2011,,,,,,,6,Hutagur-gur,,,,,,
,,,,,,,,Aek Gambir,,,,"Menjadi wil. Kec. Lumut, Perda No.8/2007",,
,,,,,,,,Pulo Pakkat II,,,,"Menjadi wil. Kec. Suka Bangun, Perda No. 8/2007",,
,,,,,,,,Janji Maria,,,,"Perda No. 9/2007, Menjadi wil. Kec. Suka Bangun, Perda No.",,
,,,,,,,,,,,,8/2007,,
